FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Matthew F. Pech	['Jacqueline E. Villalta', 'Leanne J.G. Chan', 'Samir Kharbanda', 'Jonathon J. O’Brien', 'Fiona E. McAllister', 'Ari J. Firestone', 'Calvin H. Jan', 'Jeff Settleman']	male	0	2019-04-02	Systematic identification of cancer cell vulnerabilities to natural killer cell-mediated immune surveillance	Cancer
Michael Jewer	['Laura Lee', 'Guihua Zhang', 'Jiahui Liu', 'Scott D. Findlay', 'Krista M. Vincent', 'Kristofferson Tandoc', 'Dylan Dieters-Castator', 'Daniela F. Quail', 'Indrani Dutta', 'Mackenzie Coatham', 'Zhihua Xu', 'Bo-Jhih Guan', 'Maria Hatzoglou', 'Andrea Brumwell', 'James Uniacke', 'Christos Patsis', 'Antonis Koromilas', 'Julia Schueler', 'Gabrielle M. Siegers', 'Ivan Topisirovic', 'Lynne-Marie Postovit']	male	0	2019-04-02	Translational control of breast cancer plasticity	Cancer
Weiguo Han	['Stephan J. Matissek', 'David A. Jackson', 'Brandon Sklavanitis', 'Sherine F. Elsawa']	unknown	0	2019-04-02	Targeting IL-6 reduces IgM levels and tumor growth in Waldenström macroglobulinemia	Cancer
Alejandra Arias-Cavieres	['Maggie A. Khuu', 'Chinwendu U Nwakudu', 'Jasmine E. Barnard', 'Gokhan Dalgin', 'Alfredo J. Garcia']	female	1	2019-04-02	A role for Hypoxia Inducible Factor 1a (HIF1a) in intermittent hypoxia-dependent changes in spatial memory and synaptic plasticity	Neuroscience
Elizabeth Vargas	['Karen P. McNally', 'Daniel B. Cortes', 'Michelle T. Panzica', 'Amy Shaub-Maddox', 'Francis J. McNally']	female	1	2019-04-02	Spherical Spindle Shape Promotes Perpendicular Cortical Orientation by Preventing Isometric Cortical Pulling on both Spindle Poles during C. elegans Female Meiosis	Cell
Dmitri Panteleev	['Nikolai Pustogarov', 'Alexander Revishchin', 'Dzhirgala Shamadykova', 'Sergey Drozd', 'Sergey Goryanov', 'Alexander Potapov', 'Galina Pavlova']	male	0	2019-04-02	Different localization of fluorescently labeled N- and C-termini of nucleolin variants in human glioblastoma cell culture	Cancer
Ryan M. Jamiolkowski	['Kevin Y Chen', 'Shane A. Fiorenza', 'Alyssa M. Tate', 'Shawn H. Pfeil', 'Yale E. Goldman']	male	0	2019-04-02	Nanoaperture fabrication via colloidal lithography for single molecule fluorescence imaging	Biophysics
Muneyoshi Ichikawa	['Ahmad Abdelzaher Khalifa', 'Kaustuv Basu', 'Daniel Dai', 'Mohammad Amin Faghfor Maghrebi', 'Javier Vargas', 'Khanh-Huy Bui']	unknown	0	2019-04-02	Tubulin Lattice in Cilia is in a Stressed Form Regulated by Microtubule Inner Proteins	Biophysics
Nele Vandersickel	['Enid Van Nieuwenhuyse', 'Nico Van Cleemput', 'Jan Goedgebeur', 'Milad El Haddad', 'Jan De Neve', 'Teresa Strisciuglio', 'Mattias Duytschaever', 'Alexander V. Panfilov']	female	1	2019-04-02	Directed networks as a novel way to describe and analyze cardiac excitation: Directed Graph mapping	Physiology
Marios Antonakakis	['Stavros I. Dimitriadis', 'Michalis Zervakis', 'Andrew C. Papanicolaou', 'George Zouridakis']	male	0	2019-04-02	Alterations in Dynamic Spontaneous Network Microstates in Mild Traumatic Brain Injury: A MEG Beamformed Dynamic Connectivity Analysis	Neuroscience
Maarten van Zonneveld	['Mohamed Rakha', 'Shin-yee Tan', 'Yu-yu Chou', 'Ching-huan Chang', 'Joyce Yen', 'Roland Schafleitner', 'Ramakrishnan Nair', 'Ken Naito', 'Svein Ø. Solberg']	male	0	2019-04-02	Understanding patterns of abiotic and biotic stress resilience to unleash the potential of crop wild relatives for climate-smart legume breeding	Plant
Holly J. Bowen	['Jaclyn H. Ford', 'Cheryl L. Grady', 'Julia Spaniol']	ambiguous	1	2019-04-02	Fronto-striatal Functional Connectivity Supports Reward-Enhanced Memory in Older Adults	Neuroscience
Gargi Dayama	['Sambhawa Priya', 'David E. Niccum', 'Alexander Khoruts', 'Ran Blekhman']	unknown	0	2019-04-02	Interactions between the gut microbiome and host gene regulation in cystic fibrosis	Genomics
David Curtis	[]	male	0	2019-04-02	Weighted burden analysis of exome-sequenced late onset Alzheimer’s cases and controls provides further evidence for involvement of PSEN1 and demonstrates protective role for variants in tyrosine phosphatase genes	Genetics
Peter M. Kyne	['Rima W. Jabado', 'Cassandra L. Rigby', 'Dharmadi', 'Mauvis A. Gore', 'Caroline M. Pollock', 'Katelyn B. Herman', 'Jessica Cheok', 'David A. Ebert', 'Colin A. Simpfendorfer', 'Nicholas K. Dulvy']	male	0	2019-04-02	The thin edge of the wedge: extremely high extinction risk in wedgefishes and giant guitarfishes	Ecology
David G. Nickens	['Christopher W. Sausen', 'Matthew L. Bochman']	male	0	2019-04-02	The biochemical activities of the Saccharomyces cerevisiae Pif1 helicase are regulated by its N-terminal domain	Biochemistry
Xiaochen Zheng	['Ardi Roelofs', 'Hasan Erkan', 'Kristin Lemhöfer']	unknown	0	2019-04-02	Dynamics of inhibitory control during bilingual speech production: An electrophysiological study	Neuroscience
Nigel Colenbier	['Frederik Van de Steen', 'Lucina Q. Uddin', 'Russell A. Poldrack', 'Vince D. Calhoun', 'Daniele Marinazzo']	male	0	2019-04-02	Disambiguating the role of blood flow and global signal with Partial Information Decomposition	Neuroscience
Ankur B. Dalia	['Triana N. Dalia']	unknown	0	2019-04-02	Horizontal gene transfer by natural transformation promotes both genetic and epigenetic inheritance of traits	Microbiology
Venuja Sriretnakumar	['Clement C. Zai', 'Syed Wasim', 'Brianna Barsanti-Innes', 'James L. Kennedy', 'Joyce So']	unknown	0	2019-04-02	Copy number variant syndromes are frequent in schizophrenia: progressing towards a CNV-schizophrenia model	Genetics
Jonathan R. Holt	['Mark E. Borsuk', 'Brett J. Butler', 'David B. Kittredge', 'Danelle Laflower', 'Meghan Graham MacLean', 'Marla Markowski-Lindsay', 'David Orwig', 'Jonathan R. Thompson']	male	0	2019-04-02	Landowner Functional Types to Characterize Response to Forest Insects	Ecology
