FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Nicole Alexandra Wilski	['Christina Del Casale', 'Timothy J Purwin', 'Andrew E. Aplin', 'Christopher M Snyder']	female	1	2019-04-06	Murine cytomegalovirus infection of melanoma lesions delays tumor growth by recruiting and re-polarizing monocytic phagocytes in the tumor	Immunology
Jian Kong	['Hong Han', 'Julie Bergalet', 'Louis Philip Benoit Bouvrette', 'Greco Hernández', 'Nam Sung Moon', 'Hojatollah Vali', 'Éric Lécuyer', 'Paul Lasko']	ambiguous	1	2019-04-06	Drosophila ribosomal protein S5b is essential for oogenesis and interacts with distinct RNAs	Developmental
Suzy Varderidou-Minasian	['Philipp Schätzle', 'Casper Hoogenraad', 'R. Jeroen Pasterkamp', 'Maarten Altelaar']	female	1	2019-04-06	Deciphering the protein dynamics and molecular determinants of iPSC-derived neurons.	Neuroscience
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Etthel  M Windels	['Zacchari Ben Meriem', 'Taiyeb Zahir', 'Kevin  J Verstrepen', 'Pascal Hersen', 'Bram Van den Bergh', 'Jan Michiels']	unknown	0	2019-04-06	Isolation of persisters enabled by ß-lactam-induced filamentation reveals their single-cell awakening characteristics	Microbiology
Nathan Main	['Christine Yee', 'Alexandra Terry', 'Igor Stevanovski', 'Annette Maczurek', 'Alison  J. Morgan', 'Sarah Calabro', 'Alison  J. Potter', 'Tina  L. Iemma', 'David  G. Bowen', 'Golo Ahlenstiel', 'Fiona  J. Warner', 'Geoffrey  W. McCaughan', 'Susan  V. McLennan', 'Nicholas  A. Shackel']	male	0	2019-04-06	The Role of CD147 in Leukocyte Aggregation in Liver Injury	Immunology
Moise  C. Ngwa	['Alemu Wondimagegnehu', 'Ifeanyi Okudo', 'Collins Owili', 'Uzoma Ugochukwu', 'Clement Peter', 'Isabelle Devaux', 'Lorenzo Pezzoli', 'Chikwe Ihekweazu', 'David  A Sack']	male	0	2019-04-06	Cholera in Internally Displaced Persons Camps in Borno State—Nigeria, 2017: A qualitative study of the multi-sectorial emergency response to stop the spread of the outbreak	Epidemiology
Xiao Lei	['Zhe Liu', 'Kun Cao', 'Yuanyuan Chen', 'Jianming Cai', 'Fu Gao', 'Yanyong Yang']	ambiguous	1	2019-04-06	Inhibiting TG2 sensitize lung cancer to radiotherapy through interfering TOPOIIα-mediated DNA repair	Cancer
Xian Wei	['Zhicheng Li', 'Shijian Li', 'Xubiao Peng', 'Qing Zhao']	ambiguous	1	2019-04-06	Protein structure determination using Riemannian approach	Bioinformatics
Wei Li	['Lucas Pozzo-Miller']	ambiguous	1	2019-04-05	Differences in GluN2B-containing NMDA receptors result in opposite long-term plasticity and dopaminergic modulation at ipsilateral vs. contralateral cortico-striatal synapses	Neuroscience
